Symbol,Name,Sector,Industry,Full_Time_Employees,Total_ESG_Risk_score,Environment_Risk_Score,Governance_Risk_Score,Social_Risk_Score,Controversy_Level,Controversy_Score,ESG_Risk_Percentile,ESG_Risk_Level,Controversy_Level_Score,ESG_Cluster,PCA1,PCA2
WMB,Williams Companies Inc.,Energy,Oil & Gas Midstream,5601.0,21.8,8.7,3.0,10.1,Moderate Controversy Level,2.0,35.0,Medium,2.0,2,-0.7524925418118819,1.2802610572244753
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,9300.0,16.7,9.1,3.5,4.2,Moderate Controversy Level,2.0,16.0,Low,2.0,0,-1.7068895071646406,1.042380091798956
WDC,Western Digital Corp.,Technology,Computer Hardware,53000.0,11.4,1.5,6.1,3.9,Moderate Controversy Level,2.0,4.0,Low,2.0,0,-1.1089859311308663,-0.6851981203037842
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,533.0,13.2,4.2,5.5,3.5,Low Controversy Level,1.0,7.0,Low,1.0,0,-2.041881767496434,-0.6037750355538695
WFC,Wells Fargo & Co.,Financial Services,Banks - Diversified,224824.0,36.2,2.0,19.4,14.8,Severe Controversy Level,5.0,87.0,High,5.0,1,6.010695601950649,-1.7408186173084335
WEC,"Wec Energy Group, Inc.",Utilities,Utilities - Regulated Electric,7000.0,27.5,13.4,5.1,9.0,Low Controversy Level,1.0,59.0,Medium,1.0,2,-1.2086399033576396,1.0709562404517463
WM,"Waste Management, Inc.",Industrials,Waste Management,48000.0,16.6,8.1,3.3,5.2,Moderate Controversy Level,2.0,16.0,Low,2.0,0,-1.564543906585967,0.9643563464958506
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,2100000.0,25.3,5.9,7.1,12.4,Significant Controversy Level,3.0,50.0,Medium,3.0,1,1.3257251930325609,0.5010797605563718
WBA,"Walgreens Boots Alliance, Inc",Healthcare,Pharmaceutical Retailers,330000.0,16.3,1.8,5.2,9.3,Significant Controversy Level,3.0,15.0,Low,3.0,1,0.3613405114677561,0.17561704785155507
WAB,Wabtec Inc.,Industrials,Railroads,29000.0,23.3,5.4,6.0,12.0,Moderate Controversy Level,2.0,42.0,Medium,2.0,2,0.3022834386524525,0.19846559927332136
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,23200.0,16.0,4.5,5.9,5.6,Moderate Controversy Level,2.0,14.0,Low,2.0,0,-0.8700911446002391,-0.12734701971322146
WRB,W.R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,8329.0,21.8,2.0,11.9,7.9,Low Controversy Level,1.0,35.0,Medium,1.0,3,0.2347424092024421,-2.158548324821019
VMC,Vulcan Materials Company,Basic Materials,Building Materials,10961.0,29.3,13.4,9.1,6.8,Moderate Controversy Level,2.0,66.0,Medium,2.0,2,0.012785083064838214,0.5950798823345985
V,Visa Inc.,Financial Services,Credit Services,,16.7,1.8,6.7,8.2,Significant Controversy Level,3.0,16.0,Low,3.0,1,0.5060417169820576,-0.17941569165958593
VRTX,Vertex Pharmaceuticals Inc,Healthcare,Biotechnology,5400.0,22.7,0.8,6.6,15.4,Moderate Controversy Level,2.0,39.0,Medium,2.0,1,1.0882876278301232,-0.5229989425433459
VZ,Verizon Communications,Communication Services,Telecom Services,104400.0,18.7,3.7,5.4,9.6,Significant Controversy Level,3.0,23.0,Low,3.0,1,0.44711996253087155,0.43405101584448047
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,7500.0,17.5,0.1,5.0,12.5,Low Controversy Level,1.0,19.0,Low,1.0,0,-0.49977786322122975,-0.8316051402971646
